id,name,name_grel,name_grel_star,host_id,host_name,host_name 1,host_name 2,neighbourhood,neighbourhood_case,neighbourhood_loop,neighbourhood_cluster,latitude,longitude,room_type,price,price_crazy,minimum_nights,minimum_nights_long,number_of_reviews,last_review,last_review_timeless,reviews_per_month,calculated_host_listings_count,availability_365,name_grel 1,name_grel 2,name_grel 3,name_grel 4,name_grel 5,newname
1468342.0,(Quaint Serenity in Bronzeville),Quaint Serenity in Bronzeville,Quaint Serenity in Bronzeville,4081052,Suzetta,Suzetta,,Grand Boulevard,Grand Boulevard,Grand Boulevard,Grand Boulevard,41.8126603,-87.61586485,Private room,65,,2,,103,2018-10-21T00:00:00Z,2018-10-21,1.61,1,364,Quaint Serenity in Bronzeville,,,,,
1475647.0,(01b. Twin bed in Shared Foster Cat Room),01b. Twin bed in Shared Foster Cat Room,01b. Twin bed in Shared Foster Cat Room,2907254,Joe,Joe,,West Ridge,West Ridge,West Ridge,West Ridge,42.01701339,-87.68718263,Shared room,25,,1,,81,2018-10-01T00:00:00Z,2018-10-01,1.26,16,0,01b. Twin bed in Shared Foster Cat Room,,,,,
1488883.0,(Private Room & Bath | Beautiful Apt),Private Room & Bath | Beautiful Apt,Private Room & Bath | Beautiful Apt,517499,Derek,Derek,,Uptown,Uptown,Uptown,Uptown,41.95523106,-87.65385461,Private room,70,,3,,39,2018-10-22T00:00:00Z,2018-10-22,0.62,2,167,Private Room & Bath | Beautiful Apt,,,,,
1502674.0,(The Biddle House (#2)),The Biddle House (#2),The Biddle House (#2),33004,At Home Inn,At Home Inn,,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.9130678,-87.64012371,Entire home/apt,158,,3,,19,2018-09-22T00:00:00Z,2018-09-22,0.3,9,354,The Biddle House (#2),,,,,
1502700.0,(The Biddle House (WHOLE HOUSE)),The Biddle House (WHOLE HOUSE),The Biddle House (WHOLE HOUSE),33004,At Home Inn,At Home Inn,,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.91405968,-87.63934359,Entire home/apt,425,,3,,13,2018-11-11T00:00:00Z,2018-11-11,0.24,9,360,The Biddle House (WHOLE HOUSE),,,,,
1503962.0,(Luxury condo Chicago/Lincoln Square),Luxury condo Chicago/Lincoln Square,Luxury condo Chicago/Lincoln Square,5892784,Alin,Alin,,Lincoln Square,Lincoln Square,Lincoln Square,Lincoln Square,41.98067344,-87.68874928,Entire home/apt,106,,3,,63,2018-11-06T00:00:00Z,2018-11-06,1.02,3,180,Luxury condo Chicago/Lincoln Square,,,,,
1510097.0,(Hinterlands),Hinterlands,Hinterlands,1965902,Lynn,Lynn,,Avondale,Avondale,Avondale,Avondale,41.93275443,-87.71644904,Entire home/apt,97,,2,,152,2018-10-29T00:00:00Z,2018-10-29,2.41,2,337,Hinterlands,,,,,
1523700.0,(Greektown Delight),Greektown Delight,Greektown Delight,8130413,Alyssa,Alyssa,,Near West Side,Near West Side,Near West Side,Near West Side,41.87648741,-87.64737491,Private room,190,,1,,1,2018-11-07T00:00:00Z,2018-11-07,1.0,1,1,Greektown Delight,,,,,
1523904.0,(Penthouse Loft Suite w/ Private Bathroom),Penthouse Loft Suite w/ Private Bathroom,Penthouse Loft Suite w/ Private Bathroom,5721289,Scott,Scott,,West Town,West Town,West Town,West Town,41.90491142,-87.66601487,Private room,120,,4,,5,2018-10-30T00:00:00Z,2018-10-30,0.09,3,365,Penthouse Loft Suite w/ Private Bathroom,,,,,
1524276.0,(Modern Penthouse Loft in Wicker Park),Modern Penthouse Loft in Wicker Park,Modern Penthouse Loft in Wicker Park,5721289,Scott,Scott,,West Town,West Town,West Town,West Town,41.90586642,-87.66479089,Private room,75,,3,,37,2018-11-12T00:00:00Z,2018-11-12,0.6,3,148,Modern Penthouse Loft in Wicker Park,,,,,
1524306.0,(Duplex Penthouse Artist Loft w/ Rooftop Deck),Duplex Penthouse Artist Loft w/ Rooftop Deck,Duplex Penthouse Artist Loft w/ Rooftop Deck,5721289,Scott,Scott,,West Town,West Town,West Town,West Town,41.90612775,-87.66607432,Entire home/apt,245,,4,,7,2018-08-06T00:00:00Z,2018-08-06,0.13,3,333,Duplex Penthouse Artist Loft w/ Rooftop Deck,,,,,
1526309.0,(Private Sunny Hyde Park Room & Bath),Private Sunny Hyde Park Room & Bath,Private Sunny Hyde Park Room & Bath,8143713,Jeremiah,Jeremiah,,hyde park,Hyde Park,Hyde Park,Hyde Park,41.79819026,-87.59601318,Private room,98,,1,,147,2018-01-14T00:00:00Z,2018-01-14,2.32,2,75,Private Sunny Hyde Park Room & Bath,,,,,
1541692.0,(Private room in Chicago),Private room in Chicago,Private room in Chicago,8217410,Aisha And Antonio,Aisha,Antonio,Oakland,Oakland,Oakland,Oakland,41.82935501,-87.60480318,Private room,62,,3,,76,2018-10-30T00:00:00Z,2018-10-30,1.41,1,224,Private room in Chicago,,,,,
1554433.0,(Charming Home in Chicago),Charming Home in Chicago,Charming Home in Chicago,6088938,Eric,Eric,,Beverly,Beverly,Beverly,Beverly,41.71347553,-87.67195462,Private room,90,,2,,133,2018-10-28T00:00:00Z,2018-10-28,2.1,1,337,Charming Home in Chicago,,,,,
1573401.0,(Spacious & serene in hip spot. Sleeps 4.),Spacious & serene in hip spot. Sleeps 4.,Spacious & serene in hip spot. Sleeps 4.,8186262,April,April,,Lower West Side,Lower West Side,Lower West Side,Lower West Side,41.85763176,-87.66236472,Private room,65,,2,,77,2018-10-28T00:00:00Z,2018-10-28,7.62,2,209,Spacious & serene in hip spot. Sleeps 4.,,,,,
1584422.0,(Magic Factory Lofts- Not your typical Airbnb),Magic Factory Lofts- Not your typical Airbnb,Magic Factory Lofts- Not your typical Airbnb,2810938,Carole And Basil,Carole,Basil,Near North Side,Near North Side,Near North Side,Near North Side,41.90606789,-87.64879609,Entire home/apt,688,,3,,23,2014-11-05T00:00:00Z,2014-11-05,0.36,1,64,Magic Factory Lofts, Not your typical Airbnb,,,,Magic Factory Lofts Not your typical Airbnb
1584509.0,(The Historic Florsheim Mansion),The Historic Florsheim Mansion,The Historic Florsheim Mansion,8442094,Russ,Russ,,Near North Side,Near North Side,Near North Side,Near North Side,41.90697302,-87.62941222,Entire home/apt,450,,2,,44,2018-10-19T00:00:00Z,2018-10-19,0.75,2,362,The Historic Florsheim Mansion,,,,,
1587078.0,(Gorgeous Apartment in Bucktown),Gorgeous Apartment in Bucktown,Gorgeous Apartment in Bucktown,4908881,Irena And Martin,Irena,Martin,Logan Square,Logan Square,Logan Square,Logan Square,41.91638217,-87.68421723,Entire home/apt,149,,2,,251,2018-11-11T00:00:00Z,2018-11-11,3.97,4,352,Gorgeous Apartment in Bucktown,,,,,
